url;titulo;precio;precio millones;area;precio por metro;precio por metro millones;habitaciones;banos;parqueadero;Estrato;Sector;Admón;Admon por mt 2;Estado;Antigüedad;Piso No
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-2482583.aspx;Apartamento en Venta Medellín Loma del Indio;360000000;360;76;4736842,105;4,736842105;3;2;2;4;;212000;2789; Excelente; 1 a 8 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-2905671.aspx;Apartamento en Venta Medellín Loma del Indio;365000000;365;79;4620253,165;4,620253165;2;2;2;4;;215000;2722; Bueno; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-2871665.aspx;Apartamento en Venta Medellín Loma del Indio;400000000;400;140;2857142,857;2,857142857;3;2;2;4;;;0; Bueno;;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2865848.aspx;Apartamento en Venta Medellín El Poblado;355000000;355;78;4551282,051;4,551282051;2;2;2;4;;220000;2821; Excelente; 1 a 8 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-2780683.aspx;Apartamento en Venta Medellín Loma del Indio;360000000;360;90;4000000;4;3;2;2;4;;268000;2978;; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/frontera-det-2730225.aspx;Apartamento en Venta Medellín FRONTERA;420000000;420;92;4565217,391;4,565217391;3;2;2;4;;;0; Bueno; 1 a 8 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-2718041.aspx;Apartamento en Venta Medellín Loma del Indio;360000000;360;78;4615384,615;4,615384615;3;2;2;4;;191000;2449; Excelente; 1 a 8 años; 13º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-2719237.aspx;Apartamento en Venta Medellín Loma del Indio;380000000;380;92;4130434,783;4,130434783;3;2;2;4;;260000;2826; Bueno; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2533880.aspx;Apartamento en Venta Medellín El Poblado;290000000;290;69;4202898,551;4,202898551;2;2;2;4;;170000;2464; Excelente; 1 a 8 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2307894.aspx;Apartamento en Venta Medellín El Poblado;350000000;350;106;3301886,792;3,301886792;3;2;2;4;;370000;3491; Bueno; 16 a 30 años; 2º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2903724.aspx;Apartamento en Venta Medellín El Poblado;880000000;880;261;3371647,51;3,37164751;3;4;3;4;;570000;2184; Excelente; 9 a 15 años; 7º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/castropol-det-2882701.aspx;Apartamento en Venta Medellín Castropol;870000000;870;173;5028901,734;5,028901734;4;5;3;4;;670000;3873; Excelente; 9 a 15 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/transversal_superior-det-2782865.aspx;Apartamento en Venta Medellín Transversal Superior;870000000;870;215;4046511,628;4,046511628;3;4;3;4;;570000;2651; Excelente; 1 a 8 años; 7º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2624760.aspx;Apartamento en Venta Medellín El Poblado;870000000;870;215;4046511,628;4,046511628;3;5;3;4;;560000;2605; Excelente; 1 a 8 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/los_balsos-det-2520446.aspx;Apartamento en Venta Medellín Los Balsos;1720000000;1720;293;5870307,167;5,870307167;3;4;3;4;;;0;;;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2162943.aspx;Apartamento en Venta Medellín POBLADO;1500000000;1500;384;3906250;3,90625;3;4;3;4;;795000;2070; Bueno; 16 a 30 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2355430.aspx;Apartamento en Venta Medellín El Poblado;1700000000;1700;470;3617021,277;3,617021277;5;5;4;4;;929000;1977; Excelente; 9 a 15 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/las_palmas-det-3167387.aspx;Apartamento en Venta Medellín Las Palmas;340000000;340;77;4415584,416;4,415584416;3;2;1;5;;;0; Excelente; 9 a 15 años; 7º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/ciudad_del_rio-det-3148741.aspx;Apartamento en Venta Medellín Ciudad del Río;325000000;325;67,5;4814814,815;4,814814815;3;2;1;5;;170000;2519; Excelente; 1 a 8 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3116827.aspx;Apartamento en Venta Medellín El Poblado;370000000;370;77;4805194,805;4,805194805;1;2;1;5;;250000;3247; Excelente; 9 a 15 años; 10º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/las_palmas-det-3011641.aspx;Apartamento en Venta Medellín Las Palmas;259000000;259;80;3237500;3,2375;3;3;1;5;Las Palmas;;0; Bueno; Más de 30 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/ciudad_del_rio-det-3073571.aspx;Apartamento en Venta Medellín Ciudad del Río;360000000;360;74;4864864,865;4,864864865;3;2;1;5;;210000;2838; Excelente; 1 a 8 años;
